course_code,last_period_gathered,last_period_failed,relevant_periods,last_scrape_during_grace_period,created_at,updated_at
AS.001.146,SU25,false,"[""AS.001.146.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.147,SU25,false,"[""AS.001.147.01.FA22"",""AS.001.147.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.148,SU25,false,"[""AS.001.148.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.149,SU25,false,"[""AS.001.149.01.FA22"",""AS.001.149.01.FA23"",""AS.001.149.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.150,SU25,false,"[""AS.001.150.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.151,SU25,false,"[""AS.001.151.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.152,SU25,false,"[""AS.001.152.01.FA22"",""AS.001.152.01.FA23""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.153,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.154,SU25,false,"[""AS.001.154.01.FA22"",""AS.001.154.01.FA23""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.155,SU25,false,"[""AS.001.155.01.FA22"",""AS.001.155.01.FA23""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.156,SU25,false,"[""AS.001.156.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.157,SU25,false,"[""AS.001.157.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.158,SU25,false,"[""AS.001.158.01.FA22"",""AS.001.158.01.FA23"",""AS.001.158.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.159,SU25,false,"[""AS.001.159.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.160,SU25,false,"[""AS.001.160.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.161,SU25,false,"[""AS.001.161.01.FA22"",""AS.001.161.01.FA23""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.162,SU25,false,"[""AS.001.162.01.FA22"",""AS.001.162.01.FA23"",""AS.001.162.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.163,SU25,false,"[""AS.001.163.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.164,SU25,false,"[""AS.001.164.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.165,SU25,false,"[""AS.001.165.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.166,SU25,false,"[""AS.001.166.01.FA22"",""AS.001.166.01.FA23""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.167,SU25,false,"[""AS.001.167.01.FA22"",""AS.001.167.01.FA23""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.168,SU25,false,"[""AS.001.168.01.FA22"",""AS.001.168.01.FA23""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.169,SU25,false,"[""AS.001.169.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.170,SU25,false,"[""AS.001.170.01.FA22"",""AS.001.170.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
